x, y, validity, timestamp (us)
219.02, 348.692, 1, 177178356671
196.977, 351.896, 1, 177178417149
183.332, 353.03, 1, 177178447494
171.15, 354.595, 1, 177178477568
162.2, 355.467, 1, 177178507915
155.009, 355.415, 1, 177178537943
148.367, 355.653, 1, 177178568308
143.96, 355.537, 1, 177178598452
140.888, 354.523, 1, 177178628719
137.995, 353.312, 1, 177178658881
135.964, 352.938, 1, 177178689121
133.989, 352.65, 1, 177178719283
132.564, 352.723, 1, 177178749524
132.098, 352.362, 1, 177178779879
131.674, 352.024, 1, 177178809935
130.931, 351.845, 1, 177178840290
130.693, 351.679, 1, 177178870337
130.5, 351.607, 1, 177178900674
130.369, 351.168, 1, 177178930720
129.769, 350.431, 1, 177178961066
129.146, 349.485, 1, 177178991114
128.944, 349.112, 1, 177179021423
129.153, 349.242, 1, 177179051567
129.091, 349.456, 1, 177179081903
155.793, 343.562, 1, 177179111951
298.521, 319.97, 1, 177179142278
461.42, 293.938, 1, 177179172394
565.531, 276.51, 1, 177179202625
622.069, 266.984, 1, 177179232971
651.568, 261.346, 1, 177179263027
667.447, 258.319, 1, 177179293267
678.315, 255.705, 1, 177179323429
682.835, 253.896, 1, 177179353720
686.883, 251.99, 1, 177179383777
689.709, 250.519, 1, 177179414067
690.31, 250.177, 1, 177179444229
716.815, 229.461, 1, 177179474575
756.396, 200.54, 1, 177179504691
789.235, 177.247, 1, 177179534932
812.288, 159.331, 1, 177179565085
828.677, 144.881, 1, 177179595324
838.894, 135.877, 1, 177179625440
845.321, 130.26, 1, 177179655672
849.103, 129.025, 1, 177179686018
853.01, 128.318, 1, 177179716171
855.613, 126.105, 1, 177179746428
856.295, 123.952, 1, 177179776467
857.678, 123.21, 1, 177179806831
844.476, 125.701, 1, 177179836929
753.558, 138.088, 1, 177179867118
535.69, 167.643, 1, 177179897350
374.457, 190.479, 1, 177179927512
284.26, 207.345, 1, 177179957742
238.758, 218.017, 1, 177179987895
216.535, 220.818, 1, 177180018145
204.295, 222.228, 1, 177180048491
193.033, 222.807, 1, 177180078588
156.353, 216.623, 1, 177180108846
126.55, 211.365, 1, 177180138999
104.74, 207.917, 1, 177180169267
89.207, 205.43, 1, 177180199411
81.0301, 203.527, 1, 177180229766
75.2336, 202.752, 1, 177180259823
71.15, 200.966, 1, 177180290071
68.4542, 199.871, 1, 177180320224
66.5131, 180.153, 1, 177180350474
63.1554, 155.026, 1, 177180380572
