x, y, validity, timestamp (us)
842.155, 414.86, 1, 178772197599
842.047, 415.598, 1, 178772227849
842.242, 416.16, 1, 178772258195
842.867, 416.239, 1, 178772288243
843.111, 416.209, 1, 178772318396
843.507, 416.219, 1, 178772348769
844.117, 416.155, 1, 178772378806
844.66, 416.263, 1, 178772409056
845.456, 416.204, 1, 178772439402
845.997, 416.174, 1, 178772469555
846.415, 416.238, 1, 178772499708
847.087, 416.451, 1, 178772529956
847.596, 417.302, 1, 178772560206
847.73, 418.275, 1, 178772590552
847.857, 418.831, 1, 178772620705
848.232, 419.652, 1, 178772650955
848.432, 420.438, 1, 178772681108
848.492, 420.917, 1, 178772711356
823.492, 426.348, 1, 178772741509
759.443, 441.074, 1, 178772771855
690.439, 457.961, 1, 178772802220
638.184, 469.051, 1, 178772832354
603.798, 477.496, 1, 178772862622
582.867, 482.685, 1, 178772892747
568.758, 484.026, 1, 178772922900
557.996, 484.182, 1, 178772953149
551.871, 483.424, 1, 178772983224
547.877, 482.533, 1, 178773013474
544.18, 482.758, 1, 178773043599
541.439, 483.582, 1, 178773073963
540.362, 482.547, 1, 178773104019
539.748, 481.409, 1, 178773134260
539.501, 481.724, 1, 178773164606
539.247, 480.75, 1, 178773194758
539.195, 480.225, 1, 178773225007
538.713, 480.08, 1, 178773255160
538.29, 479.049, 1, 178773285428
537.828, 478.503, 1, 178773315485
538.511, 477.931, 1, 178773345813
542.964, 476.465, 1, 178773375859
549.993, 475.053, 1, 178773406205
558.66, 473.011, 1, 178773436289
580.856, 471.629, 1, 178773466617
606.362, 471.16, 1, 178773496769
628.885, 471.426, 1, 178773527027
646.598, 470.444, 1, 178773557084
659.866, 470.222, 1, 178773587361
669.649, 471.107, 1, 178773617417
677.091, 470.017, 1, 178773647763
682.353, 467.995, 1, 178773677897
686.457, 468.314, 1, 178773708156
689.55, 469.738, 1, 178773738328
691.4, 470.48, 1, 178773768674
692.43, 469.917, 1, 178773798729
688.32, 470.006, 1, 178773829103
685.026, 470.366, 1, 178773859237
682.569, 470.791, 1, 178773889505
678.392, 471.329, 1, 178773919658
673.146, 471.831, 1, 178773949917
667.069, 471.979, 1, 178773980052
661.931, 472.001, 1, 178774010310
657.443, 472.127, 1, 178774040656
653.663, 472.316, 1, 178774070808
649.849, 472.617, 1, 178774100847
646.014, 472.657, 1, 178774131105
643.785, 472.532, 1, 178774161257
641.688, 473.252, 1, 178774191498
633.911, 474.974, 1, 178774221844
597.654, 476.973, 1, 178774251988
555.98, 480.377, 1, 178774282343
521.437, 482.484, 1, 178774312593
497.34, 484.869, 1, 178774342746
479.433, 487.567, 1, 178774372994
457.71, 487.385, 1, 178774403138
434.738, 488.898, 1, 178774433493
418.085, 491.136, 1, 178774463550
407.167, 490.704, 1, 178774493798
400.731, 489.106, 1, 178774524144
396.065, 488.226, 1, 178774554297
392.785, 487.863, 1, 178774584345
389.695, 487.837, 1, 178774614691
387.32, 487.796, 1, 178774644941
385.05, 488.445, 1, 178774675005
388.74, 488.099, 1, 178774705342
392.749, 487.324, 1, 178774735495
394.991, 487.365, 1, 178774765736
397.927, 487.593, 1, 178774795888
402.127, 487.707, 1, 178774826137
406.643, 488.016, 1, 178774856290
411.675, 488.311, 1, 178774886636
415.715, 487.78, 1, 178774916693
417.071, 486.468, 1, 178774946942
417.378, 485.725, 1, 178774977242
417.714, 484.881, 1, 178775007280
418.016, 484.408, 1, 178775037423
418.198, 483.954, 1, 178775067664
418.456, 483.107, 1, 178775097798
418.62, 483.184, 1, 178775128144
-1920, -1080, 0, 178775158453
-1920, -1080, 0, 178775188588
-1920, -1080, 0, 178775218726
-1920, -1080, 0, 178775248783
-1920, -1080, 0, 178775278788
226.151, 465.684, 1, 178775308808
184.326, 388.156, 1, 178775339375
146.259, 282.988, 1, 178775369445
122.39, 202.762, 1, 178775399809
110.51, 163.302, 1, 178775430058
104.44, 143.747, 1, 178775460105
101.442, 125.816, 1, 178775490170
101.201, 120.252, 1, 178775520255
109.225, 167.179, 1, 178775550302
115.371, 197.02, 1, 178775580376
125.618, 253.256, 1, 178775610635
134.678, 304.989, 1, 178775640797
141.074, 342.411, 1, 178775670863
140.885, 309.768, 1, 178775701189
140.129, 291.045, 1, 178775731544
140.135, 286.032, 1, 178775761785
139.352, 275.075, 1, 178775791851
139.001, 259.887, 1, 178775822197
139.65, 245.226, 1, 178775852262
139.776, 230.846, 1, 178775882626
141.944, 219.54, 1, 178775912981
141.952, 211.385, 1, 178775943038
136.682, 218.642, 1, 178775973278
133.203, 227.706, 1, 178776003449
131.769, 233.798, 1, 178776033583
129.273, 242.553, 1, 178776063851
127.634, 252.919, 1, 178776093917
127.09, 259.649, 1, 178776124070
127.186, 252.557, 1, 178776154434
127.613, 248.661, 1, 178776184762
128.194, 243.66, 1, 178776215011
129.755, 234.808, 1, 178776245357
130.905, 223.961, 1, 178776275413
131.187, 214.7, 1, 178776305750
131.121, 206.268, 1, 178776335797
131.047, 198.041, 1, 178776366161
131.186, 191.601, 1, 178776396208
130.329, 187.31, 1, 178776426573
130.558, 182.796, 1, 178776456620
129.524, 178.909, 1, 178776486966
128.544, 175.712, 1, 178776517040
128.084, 173.558, 1, 178776547281
127.507, 171.316, 1, 178776577424
127.879, 169.834, 1, 178776607779
158.231, 179.722, 1, 178776637835
340.531, 244.761, 1, 178776668172
549.809, 318.946, 1, 178776698481
676.865, 366.071, 1, 178776728652
739.128, 388.697, 1, 178776758998
769.283, 402.964, 1, 178776789151
784.681, 411.874, 1, 178776819208
792.045, 414.439, 1, 178776849499
795.924, 416.988, 1, 178776879537
797.32, 416.362, 1, 178776909892
798.725, 415.236, 1, 178776939947
801.309, 415.47, 1, 178776970004
803.22, 415.968, 1, 178777000350
805.061, 416.384, 1, 178777030705
806.302, 421.42, 1, 178777060972
808.383, 428.675, 1, 178777091162
812.937, 434.521, 1, 178777121526
817.669, 439.654, 1, 178777151928
821.761, 441.334, 1, 178777182274
825.553, 436.338, 1, 178777212588
827.739, 432.846, 1, 178777242879
837.01, 434.808, 1, 178777272967
849.141, 439.485, 1, 178777303153
861.76, 445.665, 1, 178777333195
872.899, 449.147, 1, 178777363177
882.88, 451, 1, 178777393256
888.958, 452.621, 1, 178777423386
897.708, 460.104, 1, 178777453557
909.551, 464.914, 1, 178777483641
920.527, 469.493, 1, 178777513955
919.944, 468.629, 1, 178777544098
920.051, 467.128, 1, 178777574146
919.902, 467.15, 1, 178777604253
919.946, 467.513, 1, 178777634525
920.183, 468.964, 1, 178777664562
920.7, 470.345, 1, 178777694890
919.387, 469.321, 1, 178777725080
918.496, 468.419, 1, 178777755311
918.385, 467.764, 1, 178777785376
918.188, 467.433, 1, 178777815667
918.263, 467.371, 1, 178777845819
918.313, 467.355, 1, 178777876147
918.268, 467.468, 1, 178777906428
916.992, 470.9, 1, 178777936467
914.168, 476.81, 1, 178777966702
911.94, 483.779, 1, 178777996722
910.157, 489.676, 1, 178778026934
908.832, 492.989, 1, 178778057004
908.622, 497.956, 1, 178778087332
909.059, 503.357, 1, 178778117466
911.145, 500.734, 1, 178778147766
913.159, 498.811, 1, 178778178007
913.143, 505.822, 1, 178778208344
-1920, -1080, 0, 178778238708
-1920, -1080, 0, 178778268824
-1920, -1080, 0, 178778299018
926.748, 532.594, 1, 178778328903
914.729, 521.533, 1, 178778359190
