x, y, validity, timestamp (us)
1087.36, 422.048, 1, 178444077858
1087.21, 422.456, 1, 178444108204
1087.29, 423.333, 1, 178444138357
1087.16, 424.225, 1, 178444168606
1087.15, 424.873, 1, 178444198953
1087.23, 426.071, 1, 178444229124
1087.33, 426.688, 1, 178444259382
1087.4, 427.249, 1, 178444289728
1087.28, 427.575, 1, 178444319784
1087.62, 428.402, 1, 178444350130
1087.95, 429.231, 1, 178444380186
1088.2, 429.825, 1, 178444410339
1088.64, 430.867, 1, 178444440685
1089.32, 431.537, 1, 178444470751
1089.54, 431.777, 1, 178444501000
1089.57, 431.851, 1, 178444531337
1089.62, 432.27, 1, 178444561402
1089.8, 432.588, 1, 178444591449
1089.96, 432.714, 1, 178444621777
1090.02, 432.698, 1, 178444652104
1090.08, 432.749, 1, 178444682257
1090.12, 433.122, 1, 178444712478
1090.16, 433.001, 1, 178444742631
1090.29, 432.994, 1, 178444772977
1090.42, 433.259, 1, 178444803236
1090.23, 433.706, 1, 178444833306
1090.16, 433.936, 1, 178444863680
1090.09, 434.349, 1, 178444893736
1089.9, 435.031, 1, 178444924064
1089.61, 435.445, 1, 178444954331
1089.17, 436.046, 1, 178444984502
1088.95, 436.533, 1, 178445014830
1088.74, 436.521, 1, 178445044914
1088.61, 436.626, 1, 178445075260
1088.49, 436.841, 1, 178445105395
1088.36, 437.011, 1, 178445135643
1088.34, 437.003, 1, 178445165815
1088.29, 436.972, 1, 178445196046
1088.08, 436.905, 1, 178445226323
1087.9, 436.823, 1, 178445256651
1087.71, 436.768, 1, 178445286909
1087.66, 436.887, 1, 178445317043
1087.65, 437.195, 1, 178445347389
1087.39, 437.158, 1, 178445377455
1087.25, 437.185, 1, 178445407792
1087.08, 437.248, 1, 178445437848
1086.99, 437.488, 1, 178445468194
1086.68, 437.665, 1, 178445498269
1086.39, 437.887, 1, 178445528289
1085.9, 438.185, 1, 178445558644
1085.82, 438.389, 1, 178445588990
1085.49, 439.11, 1, 178445619036
1085.4, 439.864, 1, 178445649304
1085.01, 440.155, 1, 178445679650
