x, y, validity, timestamp (us)
989.62, 1084.97, 1, 178080947555
990.567, 1041.12, 1, 178080977781
991.847, 1041.91, 1, 178081008007
990.904, 1029.89, 1, 178081038160
989.885, 1027.28, 1, 178081068447
988.15, 1031.66, 1, 178081098609
988.614, 1021.62, 1, 178081128936
991.773, 1007.12, 1, 178081159089
990.638, 1006.4, 1, 178081189246
988.553, 1011.01, 1, 178081219482
983.599, 1006.65, 1, 178081249713
982.846, 994.012, 1, 178081279967
982.247, 971.195, 1, 178081310138
971.975, 967.216, 1, 178081340424
969.478, 972.521, 1, 178081370614
985.978, 941.563, 1, 178081400771
964.845, 953.275, 1, 178081431117
973.212, 924.677, 1, 178081461422
983.862, 897.07, 1, 178081491731
1008.35, 893.265, 1, 178081521999
1004.15, 887.195, 1, 178081552248
996.771, 864.181, 1, 178081582594
990.541, 843.982, 1, 178081612895
987.305, 831.711, 1, 178081642950
988.004, 822.713, 1, 178081673296
987.726, 805.732, 1, 178081703546
988.935, 819.919, 1, 178081733892
978.98, 836.998, 1, 178081763967
942.901, 860.119, 1, 178081794294
930.006, 866.245, 1, 178081824562
931.777, 857.299, 1, 178081854715
931.04, 851.139, 1, 178081884964
929.609, 845.593, 1, 178081915020
938.574, 831.646, 1, 178081945366
953.146, 804.072, 1, 178081975404
978.451, 764.695, 1, 178082005461
970.762, 768.219, 1, 178082035825
976.663, 765.657, 1, 178082065881
979.862, 748.32, 1, 178082096034
988.567, 735.525, 1, 178082126361
1014.13, 755.282, 1, 178082156611
1032.16, 770.101, 1, 178082186975
1066.79, 750.512, 1, 178082217128
1082.63, 770.644, 1, 178082247358
1093.43, 764.835, 1, 178082277695
1108.44, 762.987, 1, 178082307733
1105.85, 784.165, 1, 178082338079
1117.15, 786.08, 1, 178082368154
1119.2, 793.659, 1, 178082398307
1117.02, 779.415, 1, 178082428556
1118.12, 762.308, 1, 178082458788
1123.17, 754.824, 1, 178082488940
1120.35, 766.591, 1, 178082519286
1118.28, 773.253, 1, 178082549360
1116.44, 779.153, 1, 178082579688
1119.89, 773.85, 1, 178082609763
1124.38, 785.025, 1, 178082640090
1121.52, 798.721, 1, 178082670262
1128.04, 786.071, 1, 178082700318
1134.55, 777.165, 1, 178082730549
1134.09, 784.717, 1, 178082760913
1138.26, 780.164, 1, 178082790970
1139.38, 779.818, 1, 178082821316
1138.66, 777.622, 1, 178082851353
1139.91, 778.901, 1, 178082881506
1140.59, 787.862, 1, 178082911774
-1920, -1080, 0, 178082941908
-1920, -1080, 0, 178082971914
-1920, -1080, 0, 178083002214
-1920, -1080, 0, 178083032937
-1920, -1080, 0, 178083062501
849.09, 1108.52, 1, 178083092640
777.496, 923.728, 1, 178083122866
648.965, 915.272, 1, 178083153139
591.586, 761.533, 1, 178083183324
562.573, 668.226, 1, 178083213596
554.011, 696.503, 1, 178083243942
547.616, 691.804, 1, 178083274210
546.698, 707.473, 1, 178083304519
536.767, 722.775, 1, 178083334847
481.241, 743.771, 1, 178083365174
444.463, 757.626, 1, 178083395443
421.98, 765.911, 1, 178083425498
409.643, 767.218, 1, 178083455844
403.139, 759.752, 1, 178083485997
398.718, 756.242, 1, 178083516054
394.416, 750.3, 1, 178083546109
392.557, 735.269, 1, 178083576359
388.941, 733.916, 1, 178083606493
386.853, 729.868, 1, 178083636743
384.826, 722.073, 1, 178083666896
383.895, 716.868, 1, 178083697242
387.166, 702.17, 1, 178083727509
381.535, 694.945, 1, 178083757662
357.597, 684.514, 1, 178083787894
327.105, 652.933, 1, 178083818239
309.71, 643.136, 1, 178083848277
294.872, 616.66, 1, 178083878448
288.398, 625.555, 1, 178083908794
284.924, 629.171, 1, 178083938850
281.408, 632.62, 1, 178083969100
281.953, 630.778, 1, 178083999253
282.089, 624.996, 1, 178084029599
281.127, 623.969, 1, 178084059655
